iter	Passed	Remaining
0	1	162
1	2	142
2	3	127
3	5	125
4	6	125
5	7	119
6	8	115
7	9	112
8	10	110
9	11	106
10	12	103
11	14	104
12	15	103
13	16	103
14	17	101
15	19	101
16	20	100
17	21	98
18	22	97
19	24	96
20	25	94
21	26	92
22	27	91
23	28	89
24	29	88
25	30	87
26	31	85
27	32	83
28	33	82
29	34	80
30	35	79
31	36	77
32	37	75
33	38	74
34	39	72
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	44	64
41	45	62
42	46	61
43	47	59
44	48	58
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	48
53	55	47
54	56	46
55	57	44
56	58	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
