iter	Passed	Remaining
0	143	143837
1	147	73455
2	149	49716
3	151	37782
4	154	30706
5	156	25902
6	158	22551
7	160	19955
8	162	17937
9	164	16303
10	166	14963
11	168	13841
12	169	12885
13	172	12126
14	174	11467
15	176	10877
16	179	10373
17	181	9888
18	183	9457
19	185	9074
20	187	8746
21	189	8434
22	191	8144
23	193	7873
24	195	7624
25	197	7390
26	199	7173
27	201	6986
28	203	6800
29	204	6626
30	207	6479
31	209	6330
32	211	6184
33	212	6043
34	214	5910
35	216	5797
36	218	5681
37	220	5575
38	221	5466
39	223	5364
40	225	5267
41	226	5176
42	228	5092
43	230	5017
44	232	4943
45	234	4869
46	236	4795
47	238	4725
48	240	4658
49	241	4593
50	243	4533
51	245	4480
52	247	4430
53	249	4371
54	251	4317
55	253	4268
56	254	4218
57	256	4169
58	258	4118
59	260	4075
60	262	4039
61	264	4005
62	266	3967
63	268	3926
64	270	3887
65	271	3846
66	273	3813
67	275	3782
68	277	3747
69	279	3714
70	281	3683
71	283	3649
72	284	3616
73	286	3583
74	288	3555
75	290	3533
76	292	3506
77	294	3475
78	295	3447
79	297	3421
80	299	3397
81	301	3373
82	302	3338
83	304	3317
84	306	3294
85	307	3270
86	309	3248
87	311	3228
88	313	3207
89	315	3188
90	317	3170
91	320	3159
92	321	3139
93	323	3118
94	325	3096
95	326	3075
96	328	3053
97	329	3033
98	331	3013
99	333	2998
100	335	2982
101	336	2964
102	338	2944
103	339	2924
104	341	2907
105	342	2889
106	343	2869
107	344	2849
108	346	2831
109	347	2813
110	349	2797
111	350	2780
112	352	2763
113	353	2748
114	355	2733
115	356	2715
116	357	2696
117	358	2679
118	359	2664
119	361	2649
120	362	2635
121	364	2620
122	365	2607
123	367	2593
124	368	2579
125	369	2566
126	371	2551
127	373	2541
128	375	2535
129	377	2525
130	379	2514
131	381	2505
132	382	2493
133	384	2481
134	385	2470
135	386	2458
136	388	2445
137	389	2434
138	391	2422
139	392	2410
140	393	2398
141	394	2384
142	396	2373
143	397	2361
144	398	2349
145	399	2337
146	400	2325
147	401	2313
148	403	2302
149	404	2291
150	405	2279
151	406	2268
152	407	2257
153	409	2247
154	410	2237
155	411	2226
156	412	2216
157	413	2205
158	415	2195
159	416	2185
160	417	2173
161	418	2162
162	419	2151
163	420	2141
164	421	2130
165	422	2120
166	423	2110
167	424	2101
168	425	2093
169	426	2084
170	428	2075
171	429	2065
172	430	2056
173	431	2049
174	432	2040
175	433	2031
176	435	2023
177	436	2014
178	437	2006
179	438	1997
180	439	1989
181	441	1982
182	442	1973
183	443	1965
184	443	1955
185	444	1945
186	445	1936
187	446	1927
188	447	1918
189	447	1909
190	448	1900
191	449	1892
192	450	1883
193	451	1874
194	452	1867
195	453	1859
196	454	1852
197	455	1845
198	456	1838
199	458	1832
200	459	1826
201	460	1820
202	461	1813
203	462	1806
204	464	1799
205	465	1792
206	466	1785
207	467	1779
208	468	1772
209	469	1766
210	471	1762
211	472	1756
212	473	1750
213	475	1744
214	476	1738
215	477	1732
216	478	1726
217	479	1720
218	480	1714
219	481	1708
220	483	1702
221	484	1697
222	485	1692
223	487	1687
224	488	1683
225	490	1679
226	491	1674
227	492	1668
228	493	1662
229	495	1657
230	496	1651
231	497	1646
232	498	1640
233	499	1634
234	500	1629
235	501	1624
236	502	1618
237	504	1614
238	505	1609
239	506	1604
240	507	1599
241	508	1594
242	509	1588
243	510	1582
244	511	1576
245	512	1570
246	513	1565
247	514	1559
248	515	1553
249	516	1548
250	517	1543
251	518	1539
252	520	1535
253	521	1530
254	522	1525
255	523	1520
256	524	1515
257	525	1510
258	526	1505
259	527	1500
260	528	1495
261	529	1490
262	530	1486
263	531	1481
264	532	1476
265	533	1471
266	534	1466
267	535	1461
268	535	1456
269	536	1451
270	537	1447
271	538	1441
272	539	1436
273	540	1432
274	541	1428
275	542	1423
276	543	1418
277	544	1414
278	545	1410
279	546	1405
280	547	1401
281	548	1396
282	549	1391
283	550	1387
284	550	1382
285	551	1377
286	552	1373
287	553	1368
288	554	1363
289	554	1358
290	555	1353
291	556	1348
292	557	1344
293	557	1339
294	558	1334
295	559	1330
296	560	1326
297	561	1322
298	562	1317
299	563	1313
300	563	1309
301	565	1306
302	565	1301
303	566	1297
304	567	1293
305	568	1288
306	568	1284
307	569	1279
308	570	1275
309	570	1270
310	571	1265
311	572	1261
312	572	1256
313	573	1252
314	574	1249
315	575	1245
316	576	1242
317	577	1238
318	578	1234
319	579	1232
320	580	1228
321	581	1224
322	582	1220
323	582	1216
324	583	1212
325	584	1208
326	584	1203
327	585	1199
328	586	1195
329	586	1191
330	587	1187
331	588	1184
332	589	1180
333	590	1177
334	591	1173
335	592	1170
336	592	1166
337	593	1162
338	594	1160
339	595	1156
340	596	1152
341	597	1149
342	597	1145
343	598	1141
344	599	1137
345	599	1133
346	600	1130
347	601	1126
348	601	1122
349	603	1119
350	603	1116
351	604	1113
352	605	1109
353	606	1106
354	607	1103
355	608	1100
356	608	1096
357	610	1093
358	610	1090
359	611	1087
360	612	1083
361	613	1080
362	613	1076
363	614	1073
364	615	1070
365	615	1066
366	616	1063
367	617	1060
368	618	1057
369	619	1054
370	619	1050
371	620	1047
372	621	1044
373	622	1042
374	623	1039
